register_id,name,institution_id,institution_name,created,modified,addresses_roadtype_id,addresses_roadtype_name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_end_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,addresses_type,values_id,values_attribute_id,values_category,values_attribute_name,values_value,values_outstanding,values_description,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_x,geo_epgs_4326_y
﻿96058202955,Mercat Dominical de Sant Antoni,,,1996-02-27T00:00:00+01:00,2022-12-12T12:58:37.435831+01:00,,,349706,C Comte d'Urgell,1,,10,Sant Antoni,02,Eixample,08011,BARCELONA,True,,189742,20001,Telèfons,Tel.,934132300,True,Mercat de Sant Antoni,58731069,Mercats i fires al carrer,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats i fires al carrer,651,0065103005000001,429906.97744922026,4581233.086052541,41.37956821941282,2.161743115837759
﻿96058202955,Mercat Dominical de Sant Antoni,,,1996-02-27T00:00:00+01:00,2022-12-12T12:58:37.435831+01:00,,,349706,C Comte d'Urgell,1,,10,Sant Antoni,02,Eixample,08011,BARCELONA,True,,189742,20001,Telèfons,Tel.,934132300,True,Mercat de Sant Antoni,58731068,Mercats municipals,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats municipals,651,0065103005000000,429906.97744922026,4581233.086052541,41.37956821941282,2.161743115837759
﻿92086019717,Mercat de Canyelles,,,1987-03-26T00:00:00+01:00,2022-12-02T12:00:34.833401+01:00,,,018254,Carrer d'Antonio Machado,10,,49,Canyelles,08,Nou Barris,08042,Barcelona,True,,166176,20001,Telèfons,Tel.,934132324,True,,58731068,Mercats municipals,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats municipals,651,0065103005000000,430198.2611805033,4588160.717567043,41.44198819289088,2.16442712064519
﻿92086009781,Mercat de Montserrat,,,1985-01-17T00:00:00+01:00,2022-12-20T13:02:33.957571+01:00,,,120807,Via Favència,241,,50,les Roquetes,08,Nou Barris,08042,Barcelona,True,,162008,20001,Telèfons,Tel.,934132341,True,,58731068,Mercats municipals,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats municipals,651,0065103005000000,431402.5823999344,4588630.714235903,41.446325072623445,2.1787888337114434
﻿92086009789,Mercat de Sant Martí,,,1985-01-17T00:00:00+01:00,2022-12-20T13:28:55.388806+01:00,,,270107,Carrer de Puigcerdà,206,,73,la Verneda i la Pau,10,Sant Martí,08020,Barcelona,True,,161886,20001,Telèfons,Tel.,934132297,True,,58731068,Mercats municipals,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats municipals,651,0065103005000000,433590.8407812579,4585538.2798024,41.41865648109575,2.2053227925569847
﻿92086009790,Mercat del Besòs,,,1985-01-17T00:00:00+01:00,2023-01-17T10:01:53.074391+01:00,,,165601,C Jaume Huguet,38,,70,el Besòs i el Maresme,10,Sant Martí,08019,BARCELONA,True,,161887,20001,Telèfons,Tel.,934132305,True,,58731068,Mercats municipals,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats municipals,651,0065103005000000,434410.91780702176,4585594.718412233,41.419232167534055,2.2151291359475485
﻿92086009445,Mercat de La Barceloneta,,,1984-12-28T00:00:00+01:00,2022-12-02T12:06:54.141206+01:00,,,260908,Plaça del Poeta Boscà,1,,03,la Barceloneta,01,Ciutat Vella,08003,Barcelona,True,,162818,20001,Telèfons,Tel.,934132304,True,,58731068,Mercats municipals,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats municipals,651,0065103005000000,432210.37004251796,4581286.445001463,41.38024616800818,2.18928120267198
﻿92086009451,Mercat del Ninot,,,1984-12-28T00:00:00+01:00,2022-12-02T13:40:12.708509+01:00,,,191204,Carrer de Mallorca,133,,08,l'Antiga Esquerra de l'Eixample,02,Eixample,08036,Barcelona,True,,161782,20001,Telèfons,Tel.,934132322,True,,58731068,Mercats municipals,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats municipals,651,0065103005000000,429302.9601274389,4582159.266888027,41.38785716567696,2.1544122344047523
﻿92086009773,Mercat de la Llibertat,,,1985-01-17T00:00:00+01:00,2023-01-17T10:01:53.196663+01:00,,,179107,Plaça de la Llibertat,27,,31,la Vila de Gràcia,06,Gràcia,08012,Barcelona,True,,162390,20039,Telèfons,Servei a domicili,933687946,True,,58731068,Mercats municipals,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats municipals,651,0065103005000000,429260.3482642449,4583478.786006169,41.39973784880562,2.1537484882528983
﻿92086009775,Mercat del Carmel,,,1985-01-17T00:00:00+01:00,2022-12-20T12:55:49.033926+01:00,,,185700,C Llobregós,149,,37,el Carmel,07,Horta-Guinardó,08032,BARCELONA,True,,162003,20001,Telèfons,Tel.,934132335,True,,58731068,Mercats municipals,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats municipals,651,0065103005000000,429458.62777962926,4586141.851083153,41.42374046652592,2.155809762118894
